id,PTDF_count
11,1
14,1
2,1
9,1
13,2
3,1
6,4
4,1
7,2
10,1
F10,1
F4,3
F7,1
5,2
F3,1
14,2
10,2
5,3
7,2
F3,1
total PTDF count,33
network counter,7
market counter,227
