Node,Set Point
1,15.455
2,-1.172
3,-1.793
4,-2.77
5,-1.963
6,-1.204
7,-0.798
8,-0.9
9,-0.162
10,-0.021
11,-0.109
12,-0.782
13,-0.912
14,-0.93
15,-1.94
