id,PTDF_count
10,1
14,1
7,1
1,1
6,2
9,2
11,1
8,3
4,3
5,2
12,3
3,3
13,2
14,2
9,3
9,3
3,2
13,2
5,3
14,2
9,3
3,2
13,2
5,3
total PTDF count,52
network counter,13
market counter,0
