id,PTDF_count
10,1
14,2
7,2
F12,1
1,1
6,4
F3,3
F14,2
9,4
11,7
8,3
4,3
5,6
F7,2
F13,2
F6,4
F4,1
F5,5
12,1
3,3
F2,4
13,1
14,4
F12,3
F3,4
F14,1
F13,3
F4,1
3,3
F2,3
14,3
F12,3
F3,3
F13,3
3,3
F2,3
total PTDF count,102
network counter,20
market counter,146
