Node,Set Point
1,15.455
2,-0.972
3,-1.539
4,-2.77
5,-2.085
6,-0.932
7,-1.388
8,-0.92
9,-0.162
10,-0.015
11,-0.109
12,-0.782
13,-0.912
14,-0.93
15,-1.94
