Node,Set Point
1,7.46
2,-0.585
3,-1.26
4,-1.97
5,-1.23
6,-1.015
7,-0.156
8,0.64
9,0.366
10,0.2216
11,1.212
12,-0.79
13,-0.74
14,-0.67
15,-1.483
