Node,Set Point
1,11.416
2,-0.705
3,-0.56
4,-1.6
5,-1.0
6,-0.645
7,-1.094
8,-1.6
9,-0.456
10,-0.1616
11,-1.227
12,-0.43
13,-0.54
14,-0.5
15,-0.897
