Node,Set Point
1,11.416
2,-0.865
3,-0.56
4,-1.77
5,-1.0
6,-0.645
7,-1.084
8,-1.43
9,-0.296
10,-0.2016
11,-1.227
12,-0.43
13,-0.47
14,-0.48
15,-0.957
