Node,Set Point
1,7.46
2,-0.635
3,-0.77
4,-1.97
5,-0.99
6,-1.015
7,-0.156
8,0.64
9,0.136
10,0.1616
11,0.822
12,-0.79
13,-0.74
14,-0.67
15,-1.483
