Node,Set Point
1,7.46
2,-0.665
3,-0.62
4,-1.97
5,-0.68
6,-0.865
7,-0.674
8,0.06
9,0.366
10,0.1816
11,1.59
12,-0.92
13,-0.84
14,-0.8
15,-1.623
