id,PTDF_count
10,1
14,2
7,2
F12,1
1,1
6,4
F3,4
F8,1
F14,2
9,3
11,6
8,2
4,3
5,6
F7,2
F13,3
F6,5
F4,3
F5,5
12,2
3,2
F2,4
13,1
14,2
F3,2
F12,3
3,2
F2,3
total PTDF count,77
network counter,11
market counter,70
