Node,Set Point
1,15.455
2,-0.972
3,-1.558
4,-2.77
5,-2.033
6,-0.932
7,-1.388
8,-0.98
9,-0.312
10,-0.085
11,-0.209
12,-0.782
13,-0.767
14,-0.728
15,-1.94
