Node,Set Point
1,12.82
2,-0.77
3,-0.946
4,-1.539
5,-0.87
6,-0.77
7,-1.344
8,-1.826
9,-0.436
10,-0.202
11,-1.512
12,-0.503
13,-0.513
14,-0.513
15,-1.077
