ID,type,cost,initial quantity,node,completely matched
12,offer,53.2,0.05,13,True
11,request,56.7,0.15,12,True
2,offer,48.9,0.08,3,True
9,request,59.6,0.12,10,True
8,request,61.6,0.21,9,True
13,offer,52.0,0.07,14,True
4,offer,52.2,0.03,5,True
3,offer,54.2,0.2,4,True
F10,offer,59.4,0.3,11,True
F4,offer,54.9,0.32,5,True
F7,offer,62.4,0.36,8,True
F9,offer,62.1,0.03,10,True
6,request,63.4,0.82,7,True
