id,PTDF_count
11,1
14,1
2,1
9,1
13,2
3,1
6,4
4,1
7,3
10,2
F10,1
F4,3
F7,1
5,3
F3,1
F9,1
14,3
7,2
5,4
10,2
F3,1
6,2
total PTDF count,41
network counter,7
market counter,164
