id,PTDF_count
F13,1
14,3
3,3
F5,1
5,1
9,1
13,3
F6,5
6,4
10,4
F14,2
F7,2
7,4
F12,3
4,2
F11,1
12,5
11,2
F2,2
F2,1
F9,1
F1,1
F7,1
10,4
F11,1
F9,1
F1,1
F7,1
10,4
F11,1
total PTDF count,66
network counter,13
market counter,142
