Node,Set Point
1,11.416
2,-0.845
3,-0.56
4,-1.5
5,-1.05
6,-0.645
7,-1.094
8,-1.73
9,-0.296
10,-0.1716
11,-1.227
12,-0.43
13,-0.47
14,-0.5
15,-0.897
