ID,type,cost,initial quantity,node,completely matched
12,offer,53.2,0.05,13,True
11,request,56.7,0.15,12,True
2,offer,48.9,0.08,3,True
9,request,59.6,0.12,10,True
8,request,61.6,0.21,9,True
3,offer,54.2,0.2,4,True
4,offer,52.2,0.03,5,True
13,offer,52.0,0.07,14,True
5,offer,51.7,0.1,6,True
