Node,Set Point
1,12.503
2,-1.23
3,-1.72
4,-2.66
5,-1.99
6,-1.25
7,0.758
8,-0.01
9,0.202
10,0.0852
11,-0.248
12,-0.74
13,-0.87
14,-0.89
15,-1.94
