Node,Set Point
1,7.52
2,-1.045
3,-0.79
4,-2.49
5,-0.66
6,-1.015
7,1.118
8,0.89
9,-0.128
10,0.0292
11,-0.766
12,-0.75
13,-0.38
14,-0.43
15,-1.103
