id,PTDF_count
F6,1
F8,1
F13,1
F14,1
F10,2
12,4
3,2
10,2
F3,1
6,7
7,5
1,2
13,4
4,3
F4,2
F5,1
8,4
F3,1
5,4
5,3
6,1
total PTDF count,52
network counter,0
market counter,153
