Node,Set Point
1,7.52
2,-1.185
3,-0.79
4,-2.22
5,-0.85
6,-1.275
7,1.108
8,0.89
9,0.022
10,0.0292
11,-0.166
12,-0.75
13,-0.38
14,-0.38
15,-1.573
