ID,type,cost,initial quantity,quantity,node,completely matched
7,request,51.8,1.19,0.9599999999999999,8,False
6,request,52.8,0.96,0.37999999999999995,7,False
4,request,50.1,0.49,0.07999999999999996,5,False
