id,PTDF_count
F13,1
14,3
3,2
F5,1
5,2
13,4
F6,5
6,4
F9,1
10,3
F14,3
F7,2
7,2
F12,2
4,2
F4,1
F11,1
12,2
11,2
F14,1
F7,1
6,2
6,1
10,1
6,1
10,1
total PTDF count,51
network counter,3
market counter,73
