0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,-1.32E-23,-1,-1,-1,-1,0,0,0,0,0,-1.32E-23,0,-1.32E-23,-1.32E-23
0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
0,0,-1.11E-16,-1.11E-16,-1,-1,-6.62E-24,0,-6.62E-24,0,0,0,-6.62E-24,0,0
0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0
0,3.31E-23,3.31E-23,3.31E-23,4.63E-23,4.63E-23,-1,-1,-1,-1,-1,3.31E-23,3.97E-23,3.31E-23,3.31E-23
0,2.65E-23,2.65E-23,2.65E-23,1.99E-23,1.99E-23,4.44E-16,-1,4.44E-16,-1,-1,2.65E-23,1.32E-23,2.65E-23,2.65E-23
0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
0,1.32E-23,1.32E-23,1.32E-23,1.32E-23,1.32E-23,1.32E-23,6.62E-24,1.32E-23,6.62E-24,6.62E-24,2.22E-16,-1,2.22E-16,2.22E-16
0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
