Node,Set Point
1,15.455
2,-0.972
3,-1.533
4,-2.77
5,-2.223
6,-0.932
7,-1.143
8,-1.1
9,-0.233
10,-0.085
11,-0.209
12,-0.782
13,-0.782
14,-0.752
15,-1.94
