Selected ID,type,cost,initial quantity,quantity,node,completely matched,Matched ID,type,cost,initial quantity,quantity,ACTUAL QUANTITY TRANSFERRED,node,completely matched,social welfare
F7,offer,60.7,0.9,0.9,8,FALSE,11,request,61.4,0.01,0,0.01,12,TRUE,0.007
F4,request,61.1,0.36,0.36,5,FALSE,F7,offer,60.7,0.9,0.89,0.156,8,FALSE,0.0624
F8,offer,55.6,0.16,0.16,9,FALSE,F2,request,59.6,0.32,0.32,0.08,3,FALSE,0.32
7,request,56.2,0.02,0,8,TRUE,F8,offer,55.6,0.16,0.08,0.02,9,FALSE,0.012
,,,,,,,,,,,,0.266,,,0.4014
