id,PTDF_count
F6,1
F8,1
F13,1
F14,1
F10,2
12,4
3,2
10,2
6,6
7,4
1,2
13,3
4,1
8,3
F3,1
9,2
total PTDF count,36
network counter,0
market counter,314
