Node,Set Point
1,11.416
2,-0.745
3,-0.94
4,-1.5
5,-1.0
6,-0.675
7,-1.094
8,-1.48
9,-0.296
10,-0.1616
11,-1.227
12,-0.43
13,-0.47
14,-0.5
15,-0.897
