Node,Set Point
1,15.455
2,-0.972
3,-1.533
4,-2.77
5,-2.068
6,-0.932
7,-1.218
8,-1.111
9,-0.342
10,-0.085
11,-0.109
12,-0.782
13,-0.782
14,-0.812
15,-1.94
