id,PTDF_count
10,1
14,2
7,2
F12,1
1,1
6,4
F3,3
F8,1
F14,1
9,4
11,7
8,2
4,2
5,6
F7,2
F13,4
F6,3
F4,1
F5,6
12,2
3,3
F2,4
13,2
14,2
F12,4
F3,1
F14,1
F7,1
total PTDF count,73
network counter,9
market counter,35
