Node,Set Point
1,7.52
2,-1.045
3,-0.79
4,-2.32
5,-1.0
6,-1.275
7,1.488
8,1.15
9,-0.128
10,0.0292
11,-0.766
12,-0.75
13,-0.38
14,-0.38
15,-1.353
