Node,Set Point
1,7.46
2,-0.585
3,-0.65
4,-1.97
5,-0.93
6,-0.915
7,-0.706
8,0.402
9,0.366
10,0.2216
11,1.59
12,-0.89
13,-0.84
14,-0.8
15,-1.753
