Node,Set Point
1,12.82
2,-0.77
3,-1.026
4,-1.539
5,-1.026
6,-0.77
7,-1.344
8,-1.68
9,-0.336
10,-0.202
11,-1.512
12,-0.513
13,-0.513
14,-0.513
15,-1.077
