id,PTDF_count
F6,1
F8,1
F13,1
F14,1
F10,2
12,4
3,1
10,1
6,7
7,5
1,2
13,4
4,3
8,3
F3,1
11,2
9,1
3,2
total PTDF count,42
network counter,0
market counter,212
